date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:41	48/48	---M--	400	error ('Bad%20Request')	application/json	etag:W/%2230-39vyu0hKF2bdKsPUmN2j53XHZm8%22	https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/robots.txt		(from )
23:18:42	837/837	---M--	200	added ('OK')	text/html	etag:f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE	https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/	p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/index.html	(from )
23:18:42	8988/8988	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE	https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/favicon.ico	p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/favicon.ico	(from https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/)
23:18:45	260128/260128	---M--	200	added ('OK')	text/css	etag:f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE	https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/css/chunk-vendors.deea5ffe.css	p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/css/chunk-vendors.deea5ffe.css	(from https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/)
23:18:48	71558/71558	---M--	200	added ('OK')	application/javascript	etag:f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE	https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/js/app.bb985ed4.js	p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/js/app.bb985ed4.js	(from https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/)
23:19:16	1957683/1957683	---M--	200	added ('OK')	text/css	etag:f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE	https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/css/app.c6f98344.css	p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/css/app.c6f98344.css	(from https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/)
23:19:20	2197783/2197783	---M--	200	added ('OK')	application/javascript	etag:f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE	https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/js/chunk-vendors.27cd8eef.js	p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/js/chunk-vendors.27cd8eef.js	(from https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/)
23:19:32	508038/508038	---M--	200	added ('OK')	image/jpeg	etag:f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE	https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/img/multiverse-wallpaper.728504e6.jpg	p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/img/multiverse-wallpaper.728504e6.jpg	(from https://p6bylspi5pgzhgpopueybspzr6lb6svxlhwowbzbdu5mzgtgqwiq.arweave.net/f4OFyejrzZOZ7n0JgMn5j5YfSrdZ7OsHIR06zJpmhZE/css/app.c6f98344.css)
