date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:43	8131/8131	---M--	200	added ('OK')	image/png	etag:%2298068cd9f6e8ec37cab2e1cb903bc964%22	https://www.arweave.org/images/partners/pn-1kx.png	www.arweave.org/images/partners/pn-1kx.png	(from https://www.arweave.org/)
22:57:44	12513/12513	---M--	200	added ('OK')	image/png	etag:%221581c6b7bf466c4635e267e0205aceea%22	https://www.arweave.org/images/partners/pn-multicoin.png	www.arweave.org/images/partners/pn-multicoin.png	(from https://www.arweave.org/)
22:57:45	10477/10477	---M--	200	added ('OK')	image/png	etag:%223fd2fb23ae75fbf397fcfd91e5a84452%22	https://www.arweave.org/images/partners/pn-coinbase.png	www.arweave.org/images/partners/pn-coinbase.png	(from https://www.arweave.org/)
22:57:46	28315/28315	---M--	200	added ('OK')	image/png	etag:%22b762a2aafafddcee229a04dc823725e7%22	https://www.arweave.org/images/partners/pn-iwf.png	www.arweave.org/images/partners/pn-iwf.png	(from https://www.arweave.org/)
22:57:47	21083/21083	---M--	200	added ('OK')	image/png	etag:%225d90f8e649eec7f015e2481de5f9c78d%22	https://www.arweave.org/images/partners/pn-a16z.png	www.arweave.org/images/partners/pn-a16z.png	(from https://www.arweave.org/)
22:57:48	14528/14528	---M--	200	added ('OK')	image/svg+xml	etag:%227d7086060f87911f6bab42fefff228de%22	https://www.arweave.org/footer-logo.svg	www.arweave.org/footer-logo.svg	(from https://www.arweave.org/)
22:57:49	13588/13588	---M--	200	added ('OK')	text/html	etag:%2221e6483d6fa5ffd12c0a185ae397ea4c%22	https://www.arweave.org/technology	www.arweave.org/technology.html	(from https://www.arweave.org/)
22:57:52	14355/14355	---M--	200	added ('OK')	text/html	etag:%228547ab6eca7504e8801b47d1a6053ed6%22	https://www.arweave.org/build	www.arweave.org/build.html	(from https://www.arweave.org/)
22:57:54	16859/16859	---M--	200	added ('OK')	text/html	etag:%229238944ed3a32621356bf199b27f9f46%22	https://www.arweave.org/mine/start	www.arweave.org/mine/start.html	(from https://www.arweave.org/)
22:57:54	8707/8707	---M--	200	added ('OK')	text/html	etag:%2252afe269aaf8fa71e0cb7d3ca0a9ed86%22	https://www.arweave.org/mine/optimise	www.arweave.org/mine/optimise.html	(from https://www.arweave.org/)
